symbol,instrument_key
360ONE.NS,NSE_EQ|INE466L01038
3MINDIA.NS,NSE_EQ|INE470A01017
ABB.NS,NSE_EQ|INE117A01022
ACC.NS,NSE_EQ|INE012A01025
AGI.NS,NSE_EQ|INE415A01038
AIAENG.NS,NSE_EQ|INE212H01026
APLAPOLLO.NS,NSE_EQ|INE702C01027
ASKAUTOLTD.NS,NSE_EQ|INE491J01022
AUBANK.NS,NSE_EQ|INE949L01017
AADHARHFC.NS,NSE_EQ|INE883F01010
AARTIDRUGS.NS,NSE_EQ|INE767A01016
AARTIIND.NS,NSE_EQ|INE769A01020
AARTIPHARM.NS,NSE_EQ|INE0LRU01027
AAVAS.NS,NSE_EQ|INE216P01012
ABBOTINDIA.NS,NSE_EQ|INE358A01014
ACE.NS,NSE_EQ|INE731H01025
ADANIENSOL.NS,NSE_EQ|INE931S01010
ADANIENT.NS,NSE_EQ|INE423A01024
ADANIGREEN.NS,NSE_EQ|INE364U01010
ADANIPORTS.NS,NSE_EQ|INE742F01042
ADANIPOWER.NS,NSE_EQ|INE814H01011
ATGL.NS,NSE_EQ|INE399L01023
AWL.NS,NSE_EQ|INE699H01024
ABCAPITAL.NS,NSE_EQ|INE674K01013
ABFRL.NS,NSE_EQ|INE647O01011
ABREL.NS,NSE_EQ|INE055A01016
ABSLAMC.NS,NSE_EQ|INE404A01024
ADVENZYMES.NS,NSE_EQ|INE837H01020
AEGISLOG.NS,NSE_EQ|INE208C01025
AETHER.NS,NSE_EQ|INE0BWX01014
AFFLE.NS,NSE_EQ|INE00WC01027
AHLUCONT.NS,NSE_EQ|INE758C01029
AJANTPHARM.NS,NSE_EQ|INE031B01049
AKUMS.NS,NSE_EQ|INE09XN01023
APLLTD.NS,NSE_EQ|INE901L01018
ALKEM.NS,NSE_EQ|INE540L01014
ALKYLAMINE.NS,NSE_EQ|INE150B01039
ALLCARGO.NS,NSE_EQ|INE418H01029
ALOKINDS.NS,NSE_EQ|INE270A01029
ARE&M.NS,NSE_EQ|INE885A01032
AMBER.NS,NSE_EQ|INE371P01015
AMBUJACEM.NS,NSE_EQ|INE079A01024
AMIORG.NS,NSE_EQ|INE00FF01017
ANANDRATHI.NS,NSE_EQ|INE463V01026
ANANTRAJ.NS,NSE_EQ|INE242C01024
ANGELONE.NS,NSE_EQ|INE732I01013
ANURAS.NS,NSE_EQ|INE930P01018
APARINDS.NS,NSE_EQ|INE372A01015
PARKHOTELS.NS,NSE_EQ|INE988S01028
APOLLOHOSP.NS,NSE_EQ|INE437A01024
APOLLOTYRE.NS,NSE_EQ|INE438A01022
APTUS.NS,NSE_EQ|INE852O01025
ACI.NS,NSE_EQ|INE128X01021
ARVINDFASN.NS,NSE_EQ|INE955V01021
ARVIND.NS,NSE_EQ|INE034A01011
ASAHIINDIA.NS,NSE_EQ|INE439A01020
ASHOKLEY.NS,NSE_EQ|INE208A01029
ASHOKA.NS,NSE_EQ|INE442H01029
ASIANPAINT.NS,NSE_EQ|INE021A01026
ASTERDM.NS,NSE_EQ|INE914M01019
ASTRAMICRO.NS,NSE_EQ|INE386C01029
ASTRAZEN.NS,NSE_EQ|INE203A01020
ASTRAL.NS,NSE_EQ|INE006I01046
ATUL.NS,NSE_EQ|INE100A01010
AUROPHARMA.NS,NSE_EQ|INE406A01037
AVALON.NS,NSE_EQ|INE0LCL01028
AVANTIFEED.NS,NSE_EQ|INE871C01038
DMART.NS,NSE_EQ|INE192R01011
AXISBANK.NS,NSE_EQ|INE238A01034
AZAD.NS,NSE_EQ|INE02IJ01035
BASF.NS,NSE_EQ|INE373A01013
BEML.NS,NSE_EQ|INE258A01016
BLS.NS,NSE_EQ|INE153T01027
BSE.NS,NSE_EQ|INE118H01025
BAJAJ-AUTO.NS,NSE_EQ|INE917I01010
BAJAJCON.NS,NSE_EQ|INE933K01021
BAJAJELEC.NS,NSE_EQ|INE193E01025
BAJFINANCE.NS,NSE_EQ|INE296A01024
BAJAJFINSV.NS,NSE_EQ|INE918I01026
BAJAJHIND.NS,NSE_EQ|INE306A01021
BAJAJHLDNG.NS,NSE_EQ|INE118A01012
BALAMINES.NS,NSE_EQ|INE050E01027
BALKRISIND.NS,NSE_EQ|INE787D01026
BALMLAWRIE.NS,NSE_EQ|INE164A01016
BALRAMCHIN.NS,NSE_EQ|INE119A01028
BANCOINDIA.NS,NSE_EQ|INE213C01025
